Country,Fund,Fund Type,Income Classification,Theme/Objective,World Bank Region,Amount of Funding Approved (USD millions)
Sri Lanka,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,South Asia,39.78
Afghanistan,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,5.6
Bhutan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,11.49
Afghanistan,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,5.39
Bangladesh,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,8.93
Afghanistan,Adaptation Fund (AF),Multilateral,Low income,Adaptation,South Asia,0.05
Albania,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,1.9
Angola,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6.67
Angola,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,8.2
Angola,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6.18
Angola,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.42
Angola,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.2
Antigua and Barbuda,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.25
Antigua and Barbuda,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.03
Antigua and Barbuda,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.03
Antigua and Barbuda,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,9.97
Vietnam,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,30.21
Antigua and Barbuda,Special Climate Change Fund (SCCF),Multilateral,High income,Adaptation,Latin America & Caribbean,5
Argentina,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.03
Argentina,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,4.3
Argentina,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,5.64
Cuba,Green Climate Fund (GCF-1),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,23.93
Armenia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,0.03
Armenia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,1.44
Armenia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,0.03
Armenia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,0.02
Armenia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,0.23
Armenia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,2.51
Zimbabwe,Green Climate Fund (GCF-1),Multilateral,Low income,Adaptation,Sub-Saharan Africa,26.57
Azerbaijan,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,2.7
Bahrain,Green Climate Fund IRM (GCF IRM),Multilateral,High income,Adaptation,Middle East & North Africa,2.32
Bangladesh,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,10
Argentina,Pilot Program for Climate Resilience (PPCR),Multilateral,High income,Adaptation,Latin America & Caribbean,0.18
Bangladesh,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,40.4
Bangladesh,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,30.53
Bangladesh,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,25
Bangladesh,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,10
Bangladesh,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,3.1
Bangladesh,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,0.4
Bangladesh,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,0.32
Bangladesh,Global Climate Change Alliance (GCCA),Multilateral,Lower middle income,Adaptation,South Asia,10.14
Bangladesh,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,South Asia,13.77
Afghanistan,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,6.9
India,Global Environment Facility (GEF7),Multilateral,Lower middle income,Adaptation,South Asia,3.8
Nepal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,5.25
India,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,South Asia,1.82
Bangladesh,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,South Asia,40
Bangladesh,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,South Asia,24.98
Bangladesh,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,South Asia,9.68
Bangladesh,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,3.3
Nepal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,6.3
Bangladesh,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,5.43
Belize,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.03
Belize,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.02
Belize,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.03
Belize,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.02
Belize,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,6
Belize,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,8
Belize,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,8
Benin,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.5
Benin,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.01
Benin,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Benin,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Benin,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.02
Benin,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.97
Benin,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9
Benin,Global Environment Facility (GEF7),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.16
Benin,Global Environment Facility (GEF7),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.32
Benin,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.2
Benin,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.41
Benin,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4
Benin,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Benin,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8
Benin,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.45
Bhutan,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.25
Bhutan,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.03
Bhutan,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,10
Bhutan,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.02
Bhutan,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,South Asia,0.03
Bhutan,Global Climate Change Alliance (GCCA),Multilateral,Lower middle income,Adaptation,South Asia,6.34
Bhutan,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,South Asia,4.98
Bhutan,Global Climate Change Alliance (GCCA),Multilateral,Lower middle income,Adaptation,South Asia,4.93
Bhutan,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,South Asia,25.35
Nepal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,7
Bolivia,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,9.04
Bhutan,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,South Asia,2.3
Bolivia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,10
Bolivia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,4
Bolivia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,42.5
Bolivia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,45.5
Bosnia and Herzegovina,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Europe & Central Asia,5
Burkina Faso,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,22.5
Burkina Faso,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Burkina Faso,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.81
Burkina Faso,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.9
Burkina Faso,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.47
Burkina Faso,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4
Burkina Faso,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7
Burkina Faso,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.42
Burkina Faso,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Burundi,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.88
Botswana,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.05
Burundi,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Burundi,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Burundi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.88
Burundi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.72
Burundi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.08
Burundi,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Cabo Verde,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.03
Cabo Verde,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.05
Cabo Verde,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.2
Cabo Verde,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3
Cambodia,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,14.11
Cambodia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,16.92
Cambodia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,16
Cambodia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,10
Cambodia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,10
Cambodia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.17
Cambodia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,9.8
Cambodia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5
Cambodia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.95
Cambodia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.91
Cambodia,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.6
Cambodia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.57
Cambodia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.35
Cambodia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,9.5
Cambodia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,9.4
Cambodia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,1.85
Cambodia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,1.64
Cambodia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,7.4
Cambodia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,8.93
Cambodia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.2
Cameroon,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,9.98
Cameroon,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.03
Central African Republic,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Central African Republic,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.78
Central African Republic,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Central African Republic,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.14
Chad,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.5
Chad,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Chad,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.7
Chad,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.31
Chad,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Chad,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.78
Chad,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.05
Chad,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.25
Chile,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.23
Chile,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,0.03
Chile,Adaptation Fund (AF),Multilateral,High income,Adaptation,Latin America & Caribbean,9.96
Chile,Global Environment Facility (GEF7),Multilateral,High income,Adaptation,Latin America & Caribbean,2.14
Chile,Special Climate Change Fund (SCCF),Multilateral,High income,Adaptation,Latin America & Caribbean,2.5
China,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,5
China,Global Environment Facility (GEF7),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,1.65
Colombia,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,8.52
Colombia,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,38.5
Colombia,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.5
Colombia,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,4.22
Comoros,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.03
Comoros,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,41.92
Comoros,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Comoros,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.99
Comoros,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Comoros,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.14
Comoros,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Comoros,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.74
"Congo, Dem. Rep.",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
"Congo, Dem. Rep.",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3
"Congo, Dem. Rep.",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.24
"Congo, Dem. Rep.",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.73
"Congo, Dem. Rep.",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.36
"Congo, Dem. Rep.",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.33
"Congo, Dem. Rep.",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
"Congo, Rep.",Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,10
Cook Islands,Adaptation Fund (AF),Multilateral,,Adaptation,East Asia & Pacific,5.38
Cook Islands,Adaptation Fund (AF),Multilateral,,Adaptation,East Asia & Pacific,3
Costa Rica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.15
Costa Rica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.03
Costa Rica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.02
Costa Rica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.01
Costa Rica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.05
Costa Rica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,10
Costa Rica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,9.97
Costa Rica,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,5
Cote d'Ivoire,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.5
Cote d'Ivoire,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6.29
Cote d'Ivoire,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.02
Cote d'Ivoire,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6
Cote d'Ivoire,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.05
Cote d'Ivoire,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.05
Antigua and Barbuda,Green Climate Fund (GCF-1),Multilateral,High income,Adaptation,Latin America & Caribbean,32.71
Cuba,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,6.07
Cuba,Global Climate Change Alliance (GCCA),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,6.34
Cuba,Global Climate Change Alliance (GCCA),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,5.58
Cuba,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,4
Djibouti,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,5.56
Djibouti,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,5.34
Djibouti,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,4.66
Djibouti,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,8.93
Djibouti,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,5.08
Djibouti,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,7.36
Djibouti,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,2
Djibouti,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,0.2
Djibouti,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,5.38
Dominica,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.05
Colombia,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.5
Dominica,Pilot Program for Climate Resilience (PPCR),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,21
Dominican Republic,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.25
Dominican Republic,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.02
Dominican Republic,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.03
Dominican Republic,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,9.95
Ecuador,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,0.52
Ecuador,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,7.45
Ecuador,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,2.49
Ecuador,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Latin America & Caribbean,3
Egypt,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,4.7
Egypt,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,3.09
Egypt,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,6.9
Egypt,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,31.39
Egypt,Global Environment Facility (GEF7),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,6.21
Egypt,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,7.81
Egypt,Special Climate Change Fund (SCCF),Multilateral,Lower middle income,Adaptation,Middle East & North Africa,4
El Salvador,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,4.95
El Salvador,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,8.48
El Salvador,Global Environment Facility (GEF7),Multilateral,Lower middle income,Adaptation,Latin America & Caribbean,1.09
Equatorial Guinea,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,Sub-Saharan Africa,0.2
Eritrea,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.52
Eritrea,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.05
Eritrea,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Ethiopia,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,10.94
Ethiopia,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.99
Ethiopia,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,10.8
Regional - Indian Ocean SIDS,Green Climate Fund (GCF-1),Multilateral,Not applicable,Adaptation,East Asia & Pacific,38
Ethiopia,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,45
Ethiopia,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,11.41
Ethiopia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Ethiopia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.9
Ethiopia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.31
Ethiopia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.84
Ethiopia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.28
Ethiopia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Ethiopia,Special Climate Change Fund (SCCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1
Fiji,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,4.24
Fiji,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,31.04
Gambia,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.147
Gambia,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.33
Gambia,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,20.55
Gambia,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.72
Gambia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.29
Gambia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8
Gambia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.93
