ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,Afghanistan,0.310416757,0.310416053,0.311849331,0.313282772,0.311548872,0.309814817,0.316369683,0.322941274,0.327035652,0.322374398,0.269736973,0.236271842,0.230540779,0.224216465,0.224017397,0.222741569,0.213653598,0.228593648,0.230411543,0.246690734,0.246128004,0.25763063,0.24827574,0.242563802,0.250356609,0.239126606
ALB,Albania,0.334173663,0.334676618,0.333101171,0.331038248,0.331869152,0.332472468,0.337593744,0.34293084,0.34143569,0.349108673,0.338321062,0.325106885,0.338208727,0.35086542,0.370780283,0.372037017,0.370952991,0.379027106,0.391757653,0.414294932,0.421307882,0.415363615,0.416355473,0.41853583,0.411084443,0.409452983
DZA,Algeria,0.30143212,0.302461063,0.300809558,0.299456144,0.302445334,0.305595269,0.311317822,0.317378068,0.321894649,0.329136003,0.330775716,0.299016588,0.29783488,0.299765239,0.293580629,0.282920989,0.277656025,0.278184676,0.288889876,0.287796052,0.294079532,0.303557093,0.326563987,0.328683342,0.329328498,0.330681094
AND,Andorra,0.156763688,0.16203535,0.167858069,0.178800715,0.186168134,0.192225279,0.196487259,0.19785415,0.214121981,0.236267584,0.259210049,0.28374054,0.320147398,0.323544295,0.339574292,0.346752152,0.350825708,0.357281885,0.363767845,0.370368073,0.379928393,0.387946062,0.395355655,0.399901857,0.462315092,0.4639881
AGO,Angola,0.191310506,0.191310111,0.184420346,0.177526144,0.1778082,0.178144212,0.190485184,0.202848897,0.217897527,0.219492098,0.210512274,0.188478941,0.191855467,0.198535904,0.205411641,0.191451651,0.189749277,0.20316395,0.211122039,0.214962275,0.211954561,0.240076363,0.243605946,0.254776117,0.25679641,0.262540372
ATG,Antigua and Barbuda,0.455645789,0.456150018,0.457905938,0.459633419,0.460793303,0.462876754,0.463662417,0.466831276,0.470280612,0.470521232,0.483733094,0.462533636,0.465677915,0.473029688,0.4754696,0.485866386,0.479477208,0.487989213,0.481703838,0.456144657,0.464774406,0.457811432,0.437213696,0.447638147,0.447144492,0.445502844
ARG,Argentina,0.382303847,0.385232583,0.3811729,0.378467098,0.378468003,0.379941416,0.352293203,0.33248496,0.343744935,0.346225156,0.369049383,0.345026182,0.357107772,0.349803125,0.3464606,0.354519028,0.357738632,0.351060434,0.34060127,0.334082829,0.337862744,0.371215018,0.37731739,0.379593092,0.378503766,0.382984241
ARM,Armenia,0.379243998,0.375346693,0.369712654,0.380812953,0.385888393,0.387169058,0.394016912,0.410927475,0.425030118,0.413602144,0.433689381,0.416469934,0.42456937,0.444072571,0.433365257,0.435530246,0.435719973,0.444682361,0.460039772,0.475434025,0.483244248,0.49239431,0.490197035,0.499948873,0.511312277,0.507571569
AUS,Australia,0.585476853,0.589281299,0.593284212,0.598600491,0.605609956,0.613740839,0.619060839,0.621551567,0.62626328,0.633978098,0.638387805,0.682027313,0.689885464,0.697861856,0.689532774,0.696525199,0.700245322,0.703670563,0.714175952,0.715714616,0.713459896,0.713804036,0.700585662,0.704858477,0.703126111,0.690156788
AUT,Austria,0.604296016,0.610560612,0.61370529,0.616229625,0.62035678,0.624217285,0.632573258,0.639082224,0.636431863,0.641212476,0.650041462,0.680026732,0.691589745,0.689108263,0.67275765,0.680187736,0.681192103,0.68534995,0.699861013,0.712759628,0.710502899,0.695070749,0.698698715,0.698318645,0.69334634,0.686656261
AZE,Azerbaijan,0.316792256,0.314335262,0.319597912,0.325289556,0.326127536,0.326676732,0.330550533,0.369137539,0.376178445,0.379315253,0.384997733,0.338567703,0.342349974,0.339888848,0.375881993,0.366134888,0.369951248,0.364955601,0.385365036,0.410666353,0.421431401,0.440911857,0.430441129,0.432140937,0.450425867,0.438662422
